ID,name,1_apa/bui,2_apa/bui,3_apa/bui,4_apa/bui,5-9_apa/bui,10-x_apa/bui,exres/bui,prres/bui,nores/bui,to1945/bui,1946-1980/bui,1981-2000/bui,2001-2010/bui,2011-2021/bui,a_floor/bui,p_bui_rep,ch/acc,fp/acc,hrs/acc,mh/acc,fh/acc,noh/acc,x-10mc/acc,10-15mc/acc,15-20mc/acc,20-30mc/acc,30-40mc/acc,40-60mc/acc,60-80mc/acc,80-xmc/acc,ac/acc,noac/acc,lo/acc,ho/acc,prop/acc,rent/acc,park/acc,nopark/acc,x-30m/acc,30-39m/acc,40-49m/acc,50-59m/acc,60-79m/acc,80-99m/acc,100-119m/acc,120-149m/acc,150-199m/acc,200-x/acc,res1/acc,res2/acc,p_acc_empty,a_acc/bui,n_acc/km2,a_rents,p_house_unem,p_house_empl,p_house_pens,ncr/house,0-14/pop,15-24/pop,25-64/pop,65-x/pop,a_age,p_pop_for,a_pop/km2,mar/fam,nomar/fam,dad/fam,mom/fam,p_fam_mono,r_young,r_old,i_age,i_lovi,p_pop_edu3,p_pop_edu2,p_pop_noedu,p_pop_active,p_pop_desem,p_pop_empl,A/empl,B/empl,C/empl,D/empl,E/empl,F/empl,G/empl,H/empl,I/empl,J/empl,K/empl,L/empl,M/empl,N/empl,O/empl,P/empl,Q/empl,R/empl,S/empl,T/empl,U/empl,a_com_tim,marf/pop,marm/pop,mardiv/pop,p_exp_cul,i_gini_inco,r_edu_bas,r_edu_sec,n_fire_rural,cri/pop,pers/cri,phys/cri,inju/cri,vio/cri,prop/cri,robb/cri,thef/cri,soci/cri,alco/cri,stat/cri,pets/cri,legis/cri,lice/cri,dis_ear_sec,dis_ear_sex,a_ear_mont,i_pp_pc,p_com_imt,p_com_ped,arti/ter,agri/ter,past/ter,agro/ter,fore/ter,scru/ter,open/ter,wetl/ter,wate/ter,inter/pop,a_temp,rel/pop,cat/rel,ort/rel,pro/rel,wit/rel,ocr/rel,bud/rel,hin/rel,jew/rel,mus/rel,onc/rel,nonrel/pop
1111601,Arcos de Valdevez,958.40488,18.57152,3.05285,6.48731,11.5118,1.97163,999.10958,0.82681,0.0636,104.5602,345.35394,349.80602,147.87254,52.4073,1.9,37.8,332.496,261.81777,118.63439,87.57707,55.37794,144.09683,7.99269,16.32793,45.10162,99.33775,159.85385,293.44599,128.3398,249.60037,115.09477,884.90523,219.79904,3.31126,817.19571,112.01187,637.47431,362.52569,11.30395,22.03699,34.59694,57.31902,124.57182,189.88354,183.94611,162.82256,121.26056,92.25851,492.16072,401.74206,10.6,1.13,39.8,242.83,1.76,44.49,35.89,0.34231,92.81784,86.3983,460.80703,359.97683,51.97,2.08,46.29,745.09188,102.24596,19.1613,133.50086,15.27,16.96,65.78,387.83,53.98,10.78,29.86,13.43,36.01,6.17,37.25,53.42094,2.14255,213.39809,2.7139,3.99943,132.83817,143.40808,22.28253,49.27867,11.2841,13.56949,4.42794,35.85202,31.28125,68.99014,55.992,106.1277,7.57035,21.13984,20.13998,0.14284,16.53,0,0,7.77102,12.5,39.6,106.4,126.2,133,31.08408,324.53416,187.8882,69.87578,93.1677,332.29814,,46.58385,245.34161,48.13665,7.76398,13.97516,74.53416,32.6087,3.3,5.1,1004.4,72.79,73.8,15.2,44.437,141.48794,6.72475,0,369.437,365.57194,63.85165,0,8.46738,321.65267,14.5,881.0696,931.24795,0.43826,4.10869,5.09477,3.56086,0.76696,0.10957,0.16435,0.27391,0.38348,47.44666
1111602,Caminha,876.91019,42.70463,9.31547,13.92087,46.05401,11.09483,998.11597,1.88403,0,97.34143,314.10927,381.30626,174.16789,33.07515,2,27,295.42237,102.24949,100.51911,201.35284,55.68664,244.76955,6.60689,14.78685,44.67516,117.50826,162.96995,291.17508,120.18248,242.09533,53.32704,946.67296,219.44313,2.67422,740.75822,173.98144,721.72408,278.27592,8.65188,19.19144,26.11295,43.73132,110.58675,198.99324,204.9709,152.11578,128.99166,106.65408,442.6572,474.27059,8.3,1.5,105.3,300.35,2.56,55.59,26.29,0.78468,109.38786,86.78863,508.76749,295.05602,49.06,3.39,115.7,688.33266,135.64796,22.20428,153.8151,17.6,18.37,49.54,269.73,51.19,18.13,41.61,5.86,42.7,6.82,44.67,33.89021,0.79554,147.65314,3.81862,7.63723,100.07955,163.40493,20.36595,75.09944,14.00159,11.45585,7.1599,36.43596,40.25457,93.39698,87.35084,99.76134,11.13763,25.93477,20.36595,0,18.5,0,0,7.08995,5.3,41.8,102.4,113.8,16,35.44977,300,158.92857,53.57143,76.78571,512.5,,71.42857,119.64286,50,,,46.42857,25,2.8,2.9,952.8,86.45,75.2,15,110.38676,104.01406,1.02549,0,428.87489,271.90155,13.03838,14.50337,56.18224,463.06261,15.5,873.33038,884.45926,2.392,5.65381,8.77066,5.2189,1.30473,0.36242,0.36242,0.9423,1.66715,77.60967
1111603,Melgaço,962.32972,20.5727,3.75313,3.89213,9.17431,0.27801,999.44398,0.55602,0,94.1062,483.04142,288.43481,116.06895,18.34862,2.2,33.5,400.46634,180.41387,101.42816,113.08656,99.09647,105.5086,3.78898,6.99505,30.31186,86.27222,136.69484,293.20898,140.77528,301.95278,67.03585,932.96415,332.84757,2.62314,880.20985,59.16642,689.01195,310.98805,6.41212,15.44739,20.11075,38.18129,102.594,200.52463,220.05246,176.33343,120.08161,100.26231,437.85094,458.01429,10.4,1.09,32.9,238.81,1.02,41.64,39.19,,74.35996,66.76959,433.42339,425.44706,55.94,2.34,32.63,727.0859,99.8767,26.30497,146.73243,17.3,14.87,85.06,572.15,55.88,9.96,27.47,12.49,32.75,4.6,33.76,79.45657,2.88184,121.03746,3.29354,2.88184,108.27501,123.91931,30.8769,51.46151,7.82215,12.76245,2.88184,33.75875,29.23014,129.683,70.81103,127.62454,16.46768,25.11322,19.34953,0.41169,15.01,0,0,10.42069,11,37.9,109,134.1,16,27.7885,245.37037,115.74074,46.2963,60.18519,509.25926,0,87.96296,212.96296,64.81481,,0,,,1.9,7.8,992,64.01,70.1,19.5,27.57608,120.41973,6.21196,0,295.90766,475.25708,71.47954,0,3.14795,309.2757,13.4,896.17908,934.68274,0.57422,6.45995,4.59374,1.5791,0.43066,0.28711,0.28711,0.28711,1.00488,44.64171
1111604,Monção,968.57046,12.33525,1.35181,1.77425,9.71612,6.25211,998.81717,1.18283,0,115.41061,384.67388,345.89388,120.05745,33.96418,1.9,27.2,348.75635,186.41348,83.04359,144.55737,81.97379,155.25542,5.88393,11.09922,37.17572,94.27654,146.16208,307.43514,142.15031,255.81706,127.57422,872.42578,270.52688,1.87216,831.2383,106.31185,696.57662,303.42338,9.89569,18.18668,29.55336,47.07141,97.08478,158.19738,207.67585,198.98369,134.39422,98.95694,539.96678,303.48762,15.7,1.17,65.6,285.3,1.54,51.78,30.05,0.13365,96.43018,79.2546,483.21733,341.09789,51.41,4.33,84.31,729.83725,104.33996,24.77396,141.04882,16.58,17.14,60.64,353.73,51.47,13.22,34.89,9.16,39.57,5.35,41.45,64.7482,7.34412,174.61031,2.2482,5.84532,118.40528,162.32014,25.77938,49.61031,9.89209,14.38849,4.64628,42.26619,28.02758,81.23501,67.44604,90.67746,4.19664,25.6295,20.68345,0,15.95,0,0,7.07229,11.3,37.9,113.7,143.1,41,18.91558,287.83383,166.17211,59.34718,86.05341,445.10386,0,71.21662,207.71513,32.64095,11.86944,14.8368,32.64095,11.86944,3.4,7.4,990.7,75.06,73.1,16,69.56604,248.49747,2.46084,0,480.57356,191.94548,1.46704,0,5.48957,329.2546,15.56,883.02649,917.04805,2.73328,12.39512,1.71625,4.51309,0.82634,0.06356,0.06356,0.88991,0.82634,52.03188
1111605,Paredes de Coura,975.49102,11.91875,1.34296,5.03609,5.87544,0.33574,998.48917,1.51083,0,186.83901,310.22327,296.12221,153.76868,53.04684,1.7,29.4,351.65156,211.63403,141.77141,76.87811,69.86261,148.20228,8.47705,12.86174,38.00058,118.97106,162.52558,306.34317,119.848,232.97281,56.12394,943.87606,213.68021,2.63081,868.1672,68.69336,697.45688,302.54312,9.6463,15.78486,29.52353,34.49284,98.2169,196.14148,207.54165,171.29494,129.4943,107.8632,540.18633,314.22706,14.6,1.06,45.9,248.21,1.55,52.95,30.85,0.58377,109.93976,88.04449,494.09175,307.924,49.41,2.19,62.47,755.05618,118.72659,22.09738,104.11985,12.62,18.89,52.9,280.08,51.69,10.23,30.62,10.5,41.91,5.64,44.44,44.22964,4.10076,306.67838,4.9795,4.39367,123.02285,122.14411,44.52255,36.61394,8.49443,12.88811,1.46456,26.36204,24.89748,67.95548,49.50205,85.53017,4.9795,16.98887,10.2519,0,18.13,0,0,7.18258,8.4,36.3,98.2,111.1,39,24.21223,325.35885,181.81818,57.41627,105.26316,301.43541,,23.92344,287.08134,81.33971,38.27751,,,33.49282,2.7,8.4,1029.1,69.37,75.3,10.8,66.71973,230.69687,6.87459,0,546.13214,149.07012,0.36182,0,0.21709,309.77757,14.6,849.86098,940.43075,0.54526,5.17993,1.09051,3.95311,0.54526,0.13631,0,0.13631,0.81788,40.08341
1111606,Ponte da Barca,950.63291,22.64416,1.40647,7.45429,14.62729,3.23488,998.59353,1.40647,0,130.52039,352.46132,328.97328,137.1308,50.91421,1.9,30.9,331.20146,264.50434,134.07949,74.23481,42.71357,153.26633,12.3344,18.95843,47.73869,119.91777,184.78757,298.08132,110.09593,208.08588,83.82823,916.17177,211.74052,4.11147,791.6857,132.25217,680.90452,319.09548,14.39013,23.75514,33.34856,51.39333,116.49155,201.69027,201.46185,158.06304,104.61398,94.79214,524.31138,354.61078,12.1,1.18,45.9,215.56,1.67,53.88,27.8,,103.6762,97.15683,497.55523,301.61173,49.27,1.93,60.64,731.79292,98.85932,27.7859,141.56186,16.93,17.43,50.72,290.92,52.72,11.11,33.32,10.72,40.16,5.98,42.13,41.48681,4.07674,212.94964,5.03597,2.8777,152.9976,133.57314,18.70504,58.753,8.63309,12.47002,4.31655,30.21583,28.53717,67.6259,68.10552,108.8729,4.79616,20.38369,15.58753,0,16.63,0,0,8.33032,3.2,38.4,111.2,158.7,78,30.96704,315.78947,210.52632,93.56725,99.4152,423.97661,0,61.40351,222.22222,43.85965,11.69591,8.77193,17.54386,,2.6,4.8,902.4,67.15,72,16.8,41.01916,135.90687,1.59244,0,366.64653,424.74329,17.5718,0,12.51991,301.52119,14.82,867.07715,935.9858,0,5.32581,2.19298,3.23726,1.25313,0,0.10443,0.31328,0.62657,44.18689
1111607,Ponte de Lima,950.74479,30.88381,3.62463,2.73088,8.83813,3.17776,997.96425,1.9861,0.04965,106.30586,328.79841,346.37537,169.46375,49.0566,1.9,38.2,291.08579,166.48794,134.24933,107.7748,64.74531,235.65684,7.84182,18.96783,45.17426,125.53619,175,316.55496,109.51743,201.40751,121.84987,878.15013,242.69437,5.02681,807.97587,114.87936,781.50134,218.49866,8.0429,17.09115,27.41287,37.26542,92.4933,163.80697,198.12332,168.09651,157.23861,130.42895,652.95405,264.55142,8.2,1.14,71.5,274.64,1.76,60.69,22.79,0.93664,118.84171,110.55777,525.99359,244.60694,46.26,1.51,128.53,771.10754,84.26966,18.61958,126.00321,14.46,18.67,38.43,205.83,51.99,13.26,35.14,8.07,44.95,5.19,48.37,32.66074,6.61195,238.0871,3.41997,3.76197,171.11263,146.77383,26.78979,45.94163,12.7109,12.5969,4.38896,28.89877,29.69676,59.33653,53.75057,84.41632,5.87095,18.29685,14.81988,0.057,18.58,0.02429,0,6.04897,11.6,37.1,104.1,125.6,87,18.51132,304.46194,183.72703,61.67979,91.86352,486.87664,,61.67979,137.79528,32.8084,14.4357,13.12336,41.99475,20.99738,3.1,6.3,994.7,76.66,72.1,11.1,101.26464,274.44184,2.87276,0,480.34348,135.30055,0.15613,0.06245,5.62061,313.74502,15.53,868.01574,943.8023,0.72766,4.03011,1.98707,2.65876,0.47578,0.30786,0.02799,0.44779,0.75565,38.86891
1111608,Valença,965.07617,14.8031,1.58091,2.44323,9.34176,6.75481,997.12561,2.87439,0,92.12417,408.73814,326.09945,129.20379,43.83444,1.7,34.1,329.95018,129.35966,88.20816,169.95756,66.06385,216.4606,8.85772,14.94741,39.85975,118.47204,164.05241,298.21,123.08544,232.51522,97.61949,902.38051,210.00185,4.42886,756.41262,180.29157,687.58073,312.41927,8.67319,19.74534,25.46595,41.1515,110.16793,193.57815,192.2864,169.95756,129.17512,109.79886,637.52941,219.52941,14.3,1.22,72.8,288.94,2.85,57.07,24.78,3.85746,119.65059,98.14285,516.91991,265.28665,46.91,6.96,116.3,656.45463,157.62395,27.36202,158.5594,18.59,19.45,43.13,221.72,49.09,11.76,37.08,6.86,44.87,7.48,47.15,23.87268,3.89036,300.44209,2.47569,9.37224,69.49602,183.20071,35.89744,60.65429,7.60389,12.55526,4.5977,39.08046,36.95844,72.85588,40.3183,64.01415,3.18302,18.03714,11.31742,0.17683,15.6,0,0,7.63415,10.4,35.1,98.1,83.6,55,38.09734,235.06744,173.4104,52.02312,98.2659,454.72062,5.78035,65.5106,202.31214,48.16956,25.04817,5.78035,77.07129,21.19461,11.5,9.8,1034.8,84.82,75.4,13.9,117.30556,216.08469,5.54939,0,444.12192,189.02075,12.37941,0.25613,15.36754,318.28525,15.87,864.78749,880.74017,4.92318,24.36126,5.26271,6.70571,1.35812,2.03718,0.25465,1.61277,1.78253,61.36681
1111609,Viana do Castelo,901.89996,43.96457,6.80049,9.45507,20.43129,17.44862,991.85731,7.60581,0.53688,101.35115,367.01763,343.8721,154.44269,33.31643,2,31,298.21158,100.45468,100.78812,194.45286,58.71476,247.37799,7.91149,13.91331,45.68051,121.91573,176.38678,301.39436,117.27796,215.51985,98.69657,901.30343,213.67081,3.84965,735.28342,196.60503,748.92392,251.07608,8.57836,19.55138,29.19066,43.22522,109.06335,184.08609,187.93574,159.77569,137.52652,121.06699,670.92392,224.94967,10.4,1.47,154.5,305.62,2.17,60.79,23.42,1.66304,119.1098,101.06321,529.27324,250.55376,46.69,2.9,268.88,715.5371,126.86426,22.95639,134.64225,15.76,18.9,39.75,210.36,48.65,20.52,44.22,5.37,46.04,6.14,49.06,18.53351,1.59167,214.90234,7.39182,9.44211,104.29481,153.44772,20.98845,48.88313,17.88605,14.45991,5.61131,37.22888,38.73961,68.3069,84.38545,109.01586,8.20114,23.6862,12.84126,0.16186,17.18,0.04663,0.02332,6.64506,5.7,38.7,111.5,164.3,87,26.32377,246.67848,147.91851,61.11603,69.08769,445.08415,4.87157,59.78742,205.04872,98.31709,23.02923,4.87157,74.845,42.07263,1.8,6.4,1195.8,92.08,75.9,13.7,167.88916,203.90571,0.78365,0,437.33935,156.10307,5.57959,7.86785,20.53163,395.40442,15.72,861.44466,894.0495,2.13823,12.34217,3.03141,6.06282,0.93378,0.47366,0.1218,1.29918,1.36684,67.34827
1111610,Vila Nova de Cerveira,959.87216,24.32528,1.42045,2.30824,11.36364,0.71023,998.7571,1.2429,0,143.46591,287.99716,328.83523,210.9375,28.7642,1.7,27.8,364.02387,143.22251,142.65416,117.36289,66.21199,166.52458,7.10429,9.66184,43.19409,107.98522,160.55698,294.11765,119.35209,258.02785,77.29469,922.70531,229.89486,4.54675,807.33163,130.15061,732.31032,267.68968,5.39926,13.92441,20.46036,38.93151,86.38818,182.15402,209.15033,177.60727,150.04263,115.94203,566.3019,320.40554,11.3,1.1,57.4,286.08,1.93,57.55,27.41,0.56754,117.8119,95.95337,515.86145,270.37328,47.23,6.4,82.24,692.02499,156.19258,25.35832,126.42411,15.18,19.26,44.19,229.5,50.21,13.85,38.58,6.44,45.93,5.76,49.06,24.60502,2.331,341.36234,1.813,6.21601,76.14608,122.76612,34.70603,61.64206,8.54701,12.43201,4.403,34.70603,39.62704,83.65708,45.06605,64.75006,6.99301,18.13002,10.10101,0,16.72,0,0,7.95875,12.2,36.5,112.3,78.6,11,32.50757,317.24138,224.13793,75.86207,106.89655,468.96552,0,58.62069,103.44828,48.27586,,,82.75862,68.96552,3.3,10.6,1152.1,84.89,75,12.5,97.72287,149.81101,0.92191,0,537.84457,188.71577,0,0.18438,24.70729,290.77458,15.62,857.97556,864.12333,5.48733,10.19075,7.31644,3.52757,0.91455,7.70839,0.2613,9.7988,6.27123,72.41341
