ID,name,diffsee/pop,diffhear/pop,diffwalk/pop,diffmemo/pop,diffhyg/pop,diffunder/pop,par/pop,dip/pop,men/pop,hiv/pop,hv/pop,tum/pop,tummal/pop,tumlab/pop,tumeso/pop,tumest/pop,tumcol/pop,tumrec/pop,tumfig/pop,tumpan/pop,tumlar/pop,melpel/pop,tummam/pop,tumcolut/pop,tumute/pop,tumova/pop,tumpro/pop,tumrim/pop,tumbex/pop,tumtec/pop,sang/pop,endo/pop,dia/pop,ment/pop,mental/pop,drog/pop,nerv/pop,mengi/pop,circ/pop,cora/pop,card/pop,cere/pop,resp/pop,grip/pop,pneu/pop,cron/pop,asma/pop,dige/pop,ilc/pop,figa/pop,pele/pop,oste/pop,art/pop,geni/pop,rimur/pop,grav/pop,peri/pop,mfcrom/pop,mfnerv/pop,mfcirc/pop,sint/pop,mlact/pop,mdes/pop,lesen/pop,acid/pop,acidtr/pop,queda/pop,enven/pop,suic/pop,hom/pop,leso/pop
1111601,Arcos de Valdevez,3.620040544,3.282170094,17.47272903,11.58412974,26.25736075,9.122502172,0.193068829,0,0,0,0.048267207,0.144801622,0.675740902,0.096534415,0.096534415,0.337870451,0.193068829,0.048267207,0.144801622,0.241336036,0.627473694,0,0.096534415,0,0.096534415,0.096534415,0.241336036,0.048267207,0.096534415,0.289603244,0.048267207,0.048267207,0.53093928,1.737619461,0.048267207,0,0.241336036,0,0.627473694,0.627473694,2.027222705,1.785886669,0.917076938,0,0.386137658,0.482672073,0,0.772275316,0,0.193068829,0.096534415,0.048267207,0.048267207,0.193068829,0.193068829,0,0,0.048267207,0,0,0.482672073,0,0.048267207,0.53093928,0.482672073,0.048267207,0.193068829,0,0.048267207,0,0
1111602,Caminha,2.785338988,1.899094765,15.63588023,9.748686459,22.47262138,5.760587453,0.189909476,0.063303159,0,0,0,0.063303159,1.012850541,0,0,0,0.126606318,0.189909476,0.126606318,0.443122112,0.253212635,0.063303159,0.126606318,0,0.063303159,0.063303159,0.189909476,0.126606318,0.126606318,0.316515794,0,0.063303159,0.379818953,0.506425271,0.063303159,0,0.189909476,0,1.709185288,0.379818953,1.709185288,1.329366335,0.443122112,0,0.633031588,0.379818953,0,0.506425271,0,0,0,0.063303159,0,0.316515794,0.379818953,0,0,0,0,0,0.126606318,0,0.379818953,0.569728429,0.443122112,0.126606318,0.126606318,0,0,0,0.063303159
1111603,Melgaço,2.830310048,3.087610961,15.95265663,8.876881513,24.31493632,6.818474206,0.514601827,0,0,0,0,0,0.900553197,0.128650457,0,0.257300913,0.128650457,0.257300913,0.128650457,0.128650457,0.77190274,0,0,0,0.128650457,0,0.128650457,0,0,0.38595137,0.128650457,0.38595137,1.029203654,0.643252284,0.128650457,0,0.514601827,0,1.15785411,1.543805481,3.602212788,1.801106394,1.415155024,0,0.643252284,0.38595137,0,0.514601827,0,0.257300913,0.128650457,0.128650457,0,0.257300913,0.514601827,0,0,0,0,0,0.257300913,0,0.257300913,1.029203654,0.900553197,0,0.643252284,0,0,0,0
1111604,Monção,2.3013022,2.357431522,17.17557252,10.55231253,27.39110912,6.230354737,0.336775932,0,0,0,0,0.056129322,0.336775932,0,0,0.336775932,0.28064661,0.168387966,0.336775932,0.336775932,0.392905254,0.112258644,0.336775932,0.056129322,0.056129322,0.056129322,0.224517288,0.168387966,0.112258644,0.056129322,0.056129322,0.224517288,0.336775932,0.617422542,0,0,0.449034576,0,0.617422542,0.785810507,4.209699147,1.347103727,0.392905254,0,0.056129322,0.336775932,0,0.56129322,0.056129322,0.112258644,0,0.056129322,0.056129322,0,0.224517288,0,0,0,0,0,0.224517288,0,0.392905254,0.898069151,0.617422542,0.336775932,0.056129322,0,0.112258644,0,0.056129322
1111605,Paredes de Coura,3.59128823,2.432808156,13.78591288,7.993512512,17.37720111,6.603336423,0.231696015,0,0,0,0,0.231696015,0.695088044,0.115848007,0.115848007,0.579240037,0.46339203,0.231696015,0.231696015,0.231696015,0.579240037,0,0,0,0,0,0.347544022,0,0.115848007,0.231696015,0,0.115848007,0.115848007,0,0.231696015,0,0.347544022,0,0.579240037,1.158480074,1.042632067,1.274328082,1.158480074,0,0.347544022,0.46339203,0,0.695088044,0,0.231696015,0,0,0,0.231696015,0.231696015,0,0,0,0,0,0.46339203,0,0,0.810936052,0.579240037,0,0.115848007,0,0.231696015,0,0
1111606,Ponte da Barca,2.625860196,1.901484969,16.5700833,12.22383194,27.61680551,8.420862007,0.181093807,0,0,0,0,0,0.27164071,0.090546903,0.27164071,0.362187613,0.181093807,0.090546903,0.181093807,0.181093807,0.362187613,0,0.090546903,0,0.181093807,0.090546903,0.27164071,0.090546903,0.090546903,0,0,0.27164071,0.27164071,0.81492213,0,0,0.54328142,0,0.633828323,0.362187613,2.444766389,2.082578776,0.362187613,0,0.362187613,0.452734516,0,0.452734516,0,0.090546903,0,0.090546903,0.090546903,0.54328142,0.905469033,0,0,0,0,0,0.633828323,0,0.633828323,0.54328142,0.54328142,0.181093807,0.090546903,0,0,0,0
1111607,Ponte de Lima,2.866582451,2.599358663,15.0617044,9.401418715,22.71402196,6.996404625,0.218637645,0,0,0,0,0.072879215,0.412982217,0.14575843,0.097172286,0.267223788,0.315809931,0.097172286,0.097172286,0.121465358,0.291516859,0.024293072,0.072879215,0,0.072879215,0.048586143,0.218637645,0.048586143,0.024293072,0.14575843,0,0.218637645,0.218637645,0.801671363,0.024293072,0,0.340103003,0,0.60732679,0.437275289,1.190360509,0.60732679,0.631619862,0,0.364396074,0.218637645,0.024293072,0.291516859,0.024293072,0.121465358,0.072879215,0.024293072,0,0.388689146,0.242930716,0,0,0,0,0,0.097172286,0,0.291516859,0.510154504,0.388689146,0.072879215,0.072879215,0.024293072,0.048586143,0,0.024293072
1111608,Valença,2.93621082,3.450047713,10.05652206,7.267121779,15.56191735,4.551126771,0.220215811,0.07340527,0,0,0,0.146810541,0.440431623,0.146810541,0.07340527,0.367026352,0.220215811,0,0.220215811,0.220215811,0.440431623,0,0.146810541,0.07340527,0,0,0.07340527,0,0.07340527,0.146810541,0,0.146810541,0.367026352,0.807457975,0.07340527,0,0.293621082,0,0.880863246,0.513836893,1.174484328,1.321294869,0.587242164,0,0.293621082,0.660647434,0,0.587242164,0,0.146810541,0.07340527,0,0,0,0.293621082,0,0,0,0,0,0.513836893,0,0.513836893,0.954268516,0.880863246,0.293621082,0.146810541,0,0.07340527,0,0
1111609,Viana do Castelo,2.413206183,2.249994171,11.76292289,8.312154632,17.93000536,5.141178391,0.116580009,0,0,0,0,0.058290004,0.373056028,0.104922008,0.034974003,0.244818019,0.26813402,0.081606006,0.12823801,0.12823801,0.617874047,0.023316002,0.139896011,0,0.023316002,0.046632004,0.291450022,0.058290004,0.069948005,0.233160018,0.023316002,0.116580009,0.39637203,0.617874047,0,0,0.477978036,0,0.676164051,0.559584043,1.025904078,0.757770058,0.431346033,0,0.373056028,0.198186015,0,0.314766024,0.011658001,0.116580009,0.046632004,0.046632004,0.011658001,0.221502017,0.198186015,0,0.011658001,0,0,0.011658001,0.151554012,0,0.466320035,0.384714029,0.279792021,0.058290004,0.069948005,0.011658001,0.058290004,0,0.011658001
1111610,Vila Nova de Cerveira,2.802376415,1.569330793,14.34816725,9.640174868,21.52225087,5.492657774,0.560475283,0,0,0,0,0,0.448380226,0.112095057,0.112095057,0.33628517,0.112095057,0,0.112095057,0.33628517,0.560475283,0.112095057,0.448380226,0,0.112095057,0,0.224190113,0.112095057,0,0.112095057,0.112095057,0.224190113,0.560475283,0.896760453,0,0,0.224190113,0,0.784665396,0.67257034,1.233045623,0.896760453,0.448380226,0,0.224190113,0.112095057,0.224190113,0.560475283,0.112095057,0.112095057,0.112095057,0,0,0.33628517,0.448380226,0,0,0,0,0.112095057,0,0,0.896760453,0.448380226,0.224190113,0.112095057,0.112095057,0,0.112095057,0,0
